SNO,Gender,I am able to quickly adapt to changes in life,I trust others easily,I feel satisfied with my personal life,I feel satisfied with my school life,I feel responsible for doing well in my life,I feel confident about my body image,I can understand and respect others  viewpoints,I hesitate to ask questions in class,I find it difficult to initiate conversations,People in my life see me as a happy person,My teachers see me as a good leader,My friends consider me trustworthy,I give in to peer pressure to fit in,I worry that people do not  like me,I often find it difficult to stay focused during class,I have trouble finishing assignments or tasks on time,"I frequently forget things like assignments, books, or my personal items","I get distracted easily, even by things that aren't part of the task at hand",I often find myself daydreaming or thinking about unrelated things when I should be focusing,I have trouble sitting still or staying in one place for a long time,"I talk or move around excessively, even when it's not appropriate","I tend to act impulsively, without thinking about the consequences",I often interrupt others or have trouble waiting for my turn during conversations,I struggle with organizing tasks or managing my time effectively,"I often feel restless or find it hard to relax, even when I should be resting","When I'm asked to complete a task, I often start it but don't finish it","Do you often lose things necessary for tasks (e.g., books, pencils, assignments)?",I am satisfied with my academic performance,I am able to submit my assignments on time,What prevents you from doing well academically?,I feel anxious due to:,I feel valued when I perform well academically,I get bothered when teachers don't notice my efforts,I feel like I donât belong or fit in at school,I feel jealous of others who are more popular or successful,I don't enjoy group activities or school events,I find online classes better than offline classes,What challenges did you face during online classes?,I often feel happy,I often feel anxious,I often feel lonely or tearful,I feel hopeful during stressful situations,I can understand others feelings and respond accordingly,I get into fights with my classmates or friends,I skip school or classes without a good reason,I tend to lie or hide the truth to avoid trouble,I have trouble following rules or instructions,"When feeling low, I prefer:",I believe I can solve challenging tasks,I have people I can talk to about my feelings,I usually cope with stress by:,I feel satisfied with my eating habits,I skip meals intentionally,I eat even when I'm not hungry due to stress or emotions,I feel guilty after eating,I avoid eating in front of others,I worry excessively about gaining weight,I feel pressure to look a certain way because of social media or peers,I restrict food intake to control my weight,Do you think your eating habits affect your emotional or physical well-being?,I feel overwhelmed by my emotions,I have felt hopeless or helpless recently,I feel like life is not worth living,I have thoughts of hurting myself,I find it difficult to share my feelings with others,I take part  in risky activities,Stress Risk %,Depression Risk %,Eating Disorder Risk %,Behavioral Issues Risk %,Mental Health Risk %,Stress Classification,Depression Classification,Eating Disorder Classification,Behavioral Issues Classification,Predicted Risk %
1,Prefer not to say,Sometimes,Often,Always,Always,Always,Rarely,Sometimes,Yes,Sometimes,Never,Rarely,Always,Never,Sometimes,Often,Often,Always,Sometimes,Always,Never,Often,Never,Rarely,Often,Sometimes,Often,Always,Never,Sometimes,Lack of concentration,Exams,No,yes,yes,No,No,Yes,Technical issues  ,Often,Always,Rarely,Never,No,Never,Rarely,Sometimes,Always,Talking to friends  ,Sometimes,Yes,Yoga or meditation  ,Never,Never,Sometimes,Always,Always,Sometimes,Often,Rarely,Never,Often,Not Sure,Not Sure,Never,Never,"Bullying or getting into fights, Experimenting with substances I try alcohol, smoking, or other substances, Using weapons or carrying dangerous objects that could hurt others",65.0,25.0,45.83333333333333,50.0,46.45833333333333,High Risk,Low Risk,Moderate Risk,Moderate Risk,46.65625
2,Male,Sometimes,Never,Sometimes,Never,Sometimes,Never,Never,Sometimes,Often,Often,Sometimes,Rarely,Sometimes,Often,Often,Never,Never,Sometimes,Sometimes,Rarely,Never,Often,Always,Often,Often,Always,Sometimes,Always,Sometimes,Poor study habits,Studies,No,Yes,yes,yes,No,Yes,Difficulty understanding content  ,Often,Never,Sometimes,Sometimes,No,Sometimes,Sometimes,Often,Sometimes,Solving on my own  ,Always,Yes,Watching TV  ,Rarely,Always,Never,Always,Often,Always,Sometimes,Often,Sometimes,Often,No,No,Never,Rarely,"Bullying or getting into fights, Experimenting with substances I try alcohol, smoking, or other substances, Driving without a license, Running away from home, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",55.00000000000001,15.0,66.66666666666666,58.333333333333336,48.75,Moderate Risk,Low Risk,High Risk,Moderate Risk,47.34791666666666
3,Prefer not to say,Sometimes,Always,Rarely,Never,Sometimes,Often,Always,Yes,Always,Sometimes,Never,Rarely,Rarely,Always,Always,Sometimes,Sometimes,Rarely,Never,Always,Always,Never,Rarely,Rarely,Rarely,Rarely,Often,Never,Sometimes,Difficulty managing time,Career,No,Yes,No,yes,yes,No,Lack of social interaction  ,Always,Always,Never,Always,Yes,Never,Rarely,Often,Never,Waiting for things to improve  ,Often,Yes,Changing the way I think  ,Always,Rarely,Rarely,Always,Always,Always,Rarely,Always,Sometimes,Sometimes,No,No,Often,Often,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Bullying or getting into fights, Experimenting with substances I try alcohol, smoking, or other substances, Stealing or shoplifting, Using weapons or carrying dangerous objects that could hurt others",55.00000000000001,35.0,66.66666666666666,25.0,45.416666666666664,Moderate Risk,Moderate Risk,High Risk,Low Risk,44.97708333333333
4,Prefer not to say,Always,Always,Never,Sometimes,Always,Always,Never,No,Always,Never,Always,Sometimes,Sometimes,Often,Often,Always,Rarely,Always,Often,Always,Often,Always,Sometimes,Always,Rarely,Never,Often,Always,Often,Distractions,College admissions,No,yes,yes,yes,yes,No,Electricity/internet problems  ,Never,Never,Rarely,Rarely,No,Rarely,Rarely,Always,Sometimes,Talking to parents  ,Sometimes,Yes,Helping others  ,Often,Rarely,Never,Never,Sometimes,Always,Often,Rarely,Rarely,Sometimes,Not Sure,Not Sure,Never,Never,"Skipping classes, Experimenting with substances I try alcohol, smoking, or other substances, Stealing or shoplifting, Avoiding homework or assignments intentionally",50.0,25.0,20.833333333333336,58.333333333333336,38.54166666666667,Moderate Risk,Low Risk,Low Risk,Moderate Risk,41.34791666666665
5,Prefer not to say,Often,Sometimes,Sometimes,Rarely,Often,Sometimes,Often,No,Sometimes,Often,Never,Rarely,Always,Rarely,Always,Sometimes,Rarely,Never,Sometimes,Sometimes,Always,Rarely,Sometimes,Never,Never,Always,Sometimes,Never,Sometimes,Difficulty understanding content,I dont feel anxious,Yes,yes,yes,yes,yes,Yes,Personal reasons  ,Always,Often,Often,Often,No,Often,Always,Never,Never,Ignoring the feelings  ,Often,No,Writing a diary  ,Often,Often,Sometimes,Rarely,Rarely,Always,Always,Rarely,Always,Often,Not Sure,Not Sure,Sometimes,Skip,"Skipping classes, Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Bullying or getting into fights, Avoiding homework or assignments intentionally",85.0,60.0,50.0,25.0,55.0,High Risk,High Risk,Moderate Risk,Low Risk,55.1
6,Female,Sometimes,Always,Sometimes,Never,Always,Sometimes,Always,Yes,Always,Often,Sometimes,Sometimes,Often,Sometimes,Rarely,Never,Never,Often,Sometimes,Rarely,Never,Always,Never,Sometimes,Rarely,Rarely,Often,Always,Never,Distractions,Results,No,No,yes,yes,No,No,Lack of time management  ,Sometimes,Always,Rarely,Often,No,Always,Rarely,Rarely,Sometimes,Talking to teachers  ,Always,Yes,Watching TV  ,Often,Rarely,Sometimes,Sometimes,Never,Never,Rarely,Always,Sometimes,Often,Yes,Yes,Skip,Often,"Skipping classes, Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Bullying or getting into fights, Experimenting with substances I try alcohol, smoking, or other substances, Stealing or shoplifting, Running away from home, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",45.0,70.0,45.83333333333333,58.333333333333336,54.791666666666664,Moderate Risk,High Risk,Moderate Risk,Moderate Risk,54.41041666666665
7,Prefer not to say,Often,Sometimes,Never,Always,Never,Sometimes,Always,No,Always,Sometimes,Never,Sometimes,Sometimes,Always,Always,Often,Never,Sometimes,Often,Often,Often,Rarely,Always,Rarely,Rarely,Often,Never,Always,Always,Difficulty managing time,Exams,No,Yes,yes,No,No,No,Difficulty understanding content  ,Never,Often,Never,Never,Yes,Rarely,Sometimes,Often,Often,Solving on my own  ,Always,No,Changing the way I think  ,Always,Sometimes,Always,Always,Rarely,Never,Never,Always,Always,Sometimes,Yes,Yes,Never,Never,"Skipping classes, Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Bullying or getting into fights, Experimenting with substances I try alcohol, smoking, or other substances, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",25.0,50.0,79.16666666666666,58.333333333333336,53.125,Low Risk,Moderate Risk,High Risk,Moderate Risk,53.21666666666666
8,Male,Always,Always,Always,Rarely,Never,Always,Always,No,Often,Never,Rarely,Rarely,Often,Never,Often,Never,Often,Rarely,Often,Never,Never,Sometimes,Often,Sometimes,Often,Always,Never,Sometimes,Sometimes,Poor study habits,Career,No,Yes,yes,yes,yes,Yes,Technical issues  ,Sometimes,Rarely,Rarely,Sometimes,No,Rarely,Never,Always,Rarely,Talking to friends  ,Sometimes,Yes,Yoga or meditation  ,Rarely,Never,Never,Always,Often,Always,Sometimes,Always,Always,Rarely,Yes,Yes,Skip,Often,"Skipping classes, Bullying or getting into fights, Running away from home, Using weapons or carrying dangerous objects that could hurt others",45.0,65.0,62.5,50.0,55.625,Moderate Risk,High Risk,High Risk,Moderate Risk,53.75833333333335
9,Prefer not to say,Sometimes,Never,Never,Sometimes,Often,Never,Never,No,Never,Always,Often,Often,Rarely,Rarely,Sometimes,Always,Always,Often,Always,Never,Never,Rarely,Sometimes,Rarely,Always,Sometimes,Never,Often,Never,Lack of concentration,Studies,No,Yes,yes,yes,yes,Yes,Personal reasons  ,Always,Rarely,Always,Sometimes,Yes,Never,Never,Often,Always,Talking to parents  ,Never,Yes,Writing a diary  ,Often,Never,Always,Sometimes,Never,Never,Sometimes,Never,Always,Rarely,No,No,Sometimes,Rarely,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Driving without a license, Stealing or shoplifting, Avoiding homework or assignments intentionally",40.0,15.0,41.66666666666667,58.333333333333336,38.75,Moderate Risk,Low Risk,Moderate Risk,Moderate Risk,40.80625
10,Prefer not to say,Always,Always,Always,Often,Rarely,Sometimes,Always,Sometimes,Always,Sometimes,Rarely,Often,Often,Never,Never,Always,Often,Rarely,Rarely,Often,Sometimes,Always,Sometimes,Sometimes,Never,Often,Rarely,Never,Sometimes,Difficulty understanding content,College admissions,Yes,Yes,No,No,yes,No,Lack of time management  ,Always,Never,Never,Sometimes,Yes,Rarely,Often,Always,Always,Waiting for things to improve  ,Often,No,Helping others  ,Always,Never,Always,Often,Never,Often,Always,Never,Often,Often,No,No,Skip,Rarely,"Bullying or getting into fights, Experimenting with substances I try alcohol, smoking, or other substances, Driving without a license, Stealing or shoplifting, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",50.0,30.0,41.66666666666667,75.0,49.16666666666667,Moderate Risk,Moderate Risk,Moderate Risk,High Risk,45.88958333333335
